time_sec,time_nanosec,linear_velocity_x,angular_velocity
1777621174,187335492,0.0,0.0
1777621174,259521029,0.0,0.0
1777621174,336789714,0.0,0.0
1777621174,473714985,0.0,0.0
1777621174,523716928,0.0,0.0
1777621174,584810325,0.0,0.0
1777621174,656511325,0.0,0.0
1777621174,732250017,0.0,0.0
1777621174,803680316,0.0,0.0
1777621174,878176168,0.0,0.0
1777621174,940386350,0.0,0.0
1777621175,37506942,0.0,0.0
1777621175,92531379,0.0,0.0
1777621175,160814048,0.0,0.0
1777621175,251992841,0.0,0.0
1777621175,344356857,0.0,0.0
1777621175,427567730,0.0,0.0
1777621175,473981533,0.0,0.0
1777621175,550673227,0.0,0.0
1777621175,620131475,0.0,0.0
1777621175,694090509,0.0,0.0
1777621175,770887849,0.0,0.0
1777621175,839583536,0.0,0.0
1777621175,922306714,0.0,0.0
1777621176,5992575,0.0,0.0
1777621176,87135053,0.0,0.0
1777621176,151217547,0.0,0.0
1777621176,220701960,0.0,0.0
1777621176,302495536,0.0,0.0
1777621176,365568346,0.0,0.0
1777621176,431335343,0.0,0.0
1777621176,518784650,0.0,0.0
1777621176,603148038,0.0,0.0
1777621176,667295554,0.0,0.0
1777621176,742590558,0.0,0.0
1777621176,817462323,0.0,0.0
1777621176,889732032,0.0,0.0
1777621176,970285647,0.0,0.0
1777621177,33649981,0.0,0.0
1777621177,122415486,0.0,0.0
1777621177,180228074,0.0,0.0
1777621177,341946118,0.0,0.0
1777621177,350634182,0.0,0.0
1777621177,401618930,0.0,0.0
1777621177,475935255,0.0,0.0
1777621177,565919961,0.0,0.0
1777621177,638972452,0.0,0.0
1777621177,716270675,0.0,0.0
1777621177,808776396,0.0,0.0
1777621177,901302472,0.0,0.0
1777621177,945119915,0.0,0.0
1777621178,11637115,0.0,0.0
1777621178,80241942,0.0,0.0
1777621178,160730886,0.0,0.0
1777621178,241463999,0.0,0.0
1777621178,303270867,0.0,0.0
1777621178,390393321,0.0,0.0
1777621178,526737498,0.0,0.0
1777621178,549610379,0.0,0.0
1777621178,610187491,0.0,0.0
1777621178,693978873,0.0,0.0
1777621178,834114161,0.0,0.0
1777621178,838209217,0.0,0.0
1777621178,917035753,0.0,0.0
1777621178,980284810,0.0,0.0
1777621179,58864933,0.0,0.0
1777621179,135182709,0.0,0.0
1777621179,217252176,0.0,0.0
1777621179,276488333,0.0,0.0
1777621179,359207677,0.0,0.0
1777621179,437999766,0.0,0.0
1777621179,509318226,0.0,0.0
1777621179,575461972,0.0,0.0
1777621179,667344239,0.0,0.0
1777621179,810390287,0.0,0.0
1777621179,813028672,0.0,0.0
1777621179,918215809,0.0,0.0
1777621180,178016109,0.0,0.0
1777621180,217199052,0.0,0.0
1777621180,218977985,0.0,0.0
1777621180,220554727,0.0,0.0
1777621180,301079809,0.0,0.0
1777621180,334962630,0.0,0.0
1777621180,409901631,0.0,0.0
1777621180,473567269,0.0,0.0
1777621180,547945864,0.0,0.0
1777621180,649705331,0.0,0.0
1777621180,702544225,0.0,0.0
1777621180,777496879,0.0,0.0
1777621180,870374900,0.0,0.0
1777621180,928862472,0.0,0.0
1777621180,991081144,0.0,0.0
1777621181,101851664,0.0,0.0
1777621181,157485126,0.0,0.0
1777621181,227627948,0.0,0.0
1777621181,288844014,0.0,0.0
1777621181,401462992,0.0,0.0
1777621181,464435825,0.0,0.0
1777621181,554032733,0.0,0.0
1777621181,630891312,0.0,0.0
1777621181,675311186,0.0,0.0
1777621181,789835608,0.0,0.0
1777621181,849325090,0.0,0.0
1777621181,906554647,0.0,0.0
1777621182,84663396,0.0,0.0
1777621182,129089008,0.0,0.0
1777621182,164162760,0.0,0.0
1777621182,232657082,0.0,0.0
1777621182,322511037,0.0,0.0
1777621182,386043468,0.0,0.0
1777621182,444447814,0.0,0.0
1777621182,542246873,0.0,0.0
1777621182,586891255,0.0,0.0
1777621182,679507764,0.0,0.0
1777621182,722256543,0.0,0.0
1777621182,845706394,0.0,0.0
1777621182,903881011,0.0,0.0
1777621183,3186977,0.0,0.0
1777621183,70263063,0.0,0.0
1777621183,130884855,0.0,0.0
1777621183,215703488,0.0,0.0
1777621183,283526508,0.0,0.0
1777621183,374005355,0.0,0.0
1777621183,450966315,0.0,0.0
1777621183,519389281,0.0,0.0
1777621183,713990011,0.0,0.0
1777621183,717202019,0.0,0.0
1777621183,742447181,0.0,0.0
1777621183,843241197,0.0,0.0
1777621183,897577596,0.0,0.0
1777621184,60426865,0.0,0.0
1777621184,69396483,0.0,0.0
1777621184,102748375,0.0,0.0
1777621184,201735989,0.0,0.0
1777621184,234535949,0.0,0.0
1777621184,278136585,0.0,0.0
1777621184,355336141,0.0,0.0
1777621184,466449734,0.0,0.0
1777621184,578954752,0.0,0.0
1777621184,593534453,0.0,0.0
1777621184,777493125,0.0,0.0
1777621184,780566526,0.0,0.0
